"","Gene_Name","Gene_ID"
"72","ENSCHAG00000004852","ENSCHAG00000004852"
"73","ENSCHAG00000004860","ENSCHAG00000004860"
"74","ENSCHAG00000005805","ENSCHAG00000005805"
"76","ENSCHAG00000005944","ENSCHAG00000005944"
"77","ENSCHAG00000006091","ENSCHAG00000006091"
"78","ENSCHAG00000006116","ENSCHAG00000006116"
"82","ENSCHAG00000006211","ENSCHAG00000006211"
"83","ENSCHAG00000006409","ENSCHAG00000006409"
"84","ENSCHAG00000006412","ENSCHAG00000006412"
"85","ENSCHAG00000006442","ENSCHAG00000006442"
"86","ENSCHAG00000006445","ENSCHAG00000006445"
"88","ENSCHAG00000006764","ENSCHAG00000006764"
"92","ENSCHAG00000007146","ENSCHAG00000007146"
"93","ENSCHAG00000007446","ENSCHAG00000007446"
"94","ENSCHAG00000008112","ENSCHAG00000008112"
"96","ENSCHAG00000008214","ENSCHAG00000008214"
"97","ENSCHAG00000009040","ENSCHAG00000009040"
"99","ENSCHAG00000009090","ENSCHAG00000009090"
"100","ENSCHAG00000009091","ENSCHAG00000009091"
"101","ENSCHAG00000009092","ENSCHAG00000009092"
"102","ENSCHAG00000009112","ENSCHAG00000009112"
"103","ENSCHAG00000009115","ENSCHAG00000009115"
"104","ENSCHAG00000009123","ENSCHAG00000009123"
"105","ENSCHAG00000009184","ENSCHAG00000009184"
"109","ENSCHAG00000009288","ENSCHAG00000009288"
"111","ENSCHAG00000009308","ENSCHAG00000009308"
"116","ENSCHAG00000009350","ENSCHAG00000009350"
"117","ENSCHAG00000009371","ENSCHAG00000009371"
"118","ENSCHAG00000009387","ENSCHAG00000009387"
"119","ENSCHAG00000009390","ENSCHAG00000009390"
"120","ENSCHAG00000009393","ENSCHAG00000009393"
"123","ENSCHAG00000009394","ENSCHAG00000009394"
"125","ENSCHAG00000009398","ENSCHAG00000009398"
"126","ENSCHAG00000009443","ENSCHAG00000009443"
"128","ENSCHAG00000009604","ENSCHAG00000009604"
"130","ENSCHAG00000010132","ENSCHAG00000010132"
"137","ENSCHAG00000010247","ENSCHAG00000010247"
"138","ENSCHAG00000010532","ENSCHAG00000010532"
"139","ENSCHAG00000010535","ENSCHAG00000010535"
"140","ENSCHAG00000010549","ENSCHAG00000010549"
"142","ENSCHAG00000010578","ENSCHAG00000010578"
"143","ENSCHAG00000010770","ENSCHAG00000010770"
"144","ENSCHAG00000010774","ENSCHAG00000010774"
"145","ENSCHAG00000010776","ENSCHAG00000010776"
"146","ENSCHAG00000011082","ENSCHAG00000011082"
"147","ENSCHAG00000011912","ENSCHAG00000011912"
"148","ENSCHAG00000011913","ENSCHAG00000011913"
"149","ENSCHAG00000011943","ENSCHAG00000011943"
"150","ENSCHAG00000012089","ENSCHAG00000012089"
"151","ENSCHAG00000012205","ENSCHAG00000012205"
"152","ENSCHAG00000012766","ENSCHAG00000012766"
"153","ENSCHAG00000012774","ENSCHAG00000012774"
"155","ENSCHAG00000013043","ENSCHAG00000013043"
"156","ENSCHAG00000013549","ENSCHAG00000013549"
"158","ENSCHAG00000013592","ENSCHAG00000013592"
"159","ENSCHAG00000013614","ENSCHAG00000013614"
"160","ENSCHAG00000013636","ENSCHAG00000013636"
"161","ENSCHAG00000013767","ENSCHAG00000013767"
"162","ENSCHAG00000013781","ENSCHAG00000013781"
"163","ENSCHAG00000013791","ENSCHAG00000013791"
"164","ENSCHAG00000015068","ENSCHAG00000015068"
"165","ENSCHAG00000015097","ENSCHAG00000015097"
"166","ENSCHAG00000015261","ENSCHAG00000015261"
"168","ENSCHAG00000015267","ENSCHAG00000015267"
"169","ENSCHAG00000015319","ENSCHAG00000015319"
"171","ENSCHAG00000015321","ENSCHAG00000015321"
"172","ENSCHAG00000015468","ENSCHAG00000015468"
"173","ENSCHAG00000015474","ENSCHAG00000015474"
"179","ENSCHAG00000015577","ENSCHAG00000015577"
"187","ENSCHAG00000015724","ENSCHAG00000015724"
"188","ENSCHAG00000015739","ENSCHAG00000015739"
"189","ENSCHAG00000015753","ENSCHAG00000015753"
"193","ENSCHAG00000015784","ENSCHAG00000015784"
"194","ENSCHAG00000015794","ENSCHAG00000015794"
"195","ENSCHAG00000015837","ENSCHAG00000015837"
"197","ENSCHAG00000016996","ENSCHAG00000016996"
"206","ENSCHAG00000017538","ENSCHAG00000017538"
"207","ENSCHAG00000017566","ENSCHAG00000017566"
"208","ENSCHAG00000017609","ENSCHAG00000017609"
"209","ENSCHAG00000017650","ENSCHAG00000017650"
"210","ENSCHAG00000017704","ENSCHAG00000017704"
"211","ENSCHAG00000017731","ENSCHAG00000017731"
"212","ENSCHAG00000017733","ENSCHAG00000017733"
"213","ENSCHAG00000017746","ENSCHAG00000017746"
"218","ENSCHAG00000017769","ENSCHAG00000017769"
"219","ENSCHAG00000017950","ENSCHAG00000017950"
"220","ENSCHAG00000018128","ENSCHAG00000018128"
"221","ENSCHAG00000018371","ENSCHAG00000018371"
"229","ENSCHAG00000018392","ENSCHAG00000018392"
"230","ENSCHAG00000018519","ENSCHAG00000018519"
"231","ENSCHAG00000019132","ENSCHAG00000019132"
"233","ENSCHAG00000019319","ENSCHAG00000019319"
"234","ENSCHAG00000020700","ENSCHAG00000020700"
"235","ENSCHAG00000020716","ENSCHAG00000020716"
"236","ENSCHAG00000020718","ENSCHAG00000020718"
"237","ENSCHAG00000020721","ENSCHAG00000020721"
"239","ENSCHAG00000020725","ENSCHAG00000020725"
"240","ENSCHAG00000020726","ENSCHAG00000020726"
"243","ENSCHAG00000020732","ENSCHAG00000020732"
"245","ENSCHAG00000020744","ENSCHAG00000020744"
"246","ENSCHAG00000021106","ENSCHAG00000021106"
"248","ENSCHAG00000021114","ENSCHAG00000021114"
"250","ENSCHAG00000021128","ENSCHAG00000021128"
"251","ENSCHAG00000021138","ENSCHAG00000021138"
"253","ENSCHAG00000021166","ENSCHAG00000021166"
"254","ENSCHAG00000021170","ENSCHAG00000021170"
"255","ENSCHAG00000021199","ENSCHAG00000021199"
"256","ENSCHAG00000021205","ENSCHAG00000021205"
"257","ENSCHAG00000021221","ENSCHAG00000021221"
"258","ENSCHAG00000021358","ENSCHAG00000021358"
"260","ENSCHAG00000021360","ENSCHAG00000021360"
"261","ENSCHAG00000021365","ENSCHAG00000021365"
"262","ENSCHAG00000021366","ENSCHAG00000021366"
"263","ENSCHAG00000021386","ENSCHAG00000021386"
"264","ENSCHAG00000021394","ENSCHAG00000021394"
"265","ENSCHAG00000021409","ENSCHAG00000021409"
"267","ENSCHAG00000021495","ENSCHAG00000021495"
"268","ENSCHAG00000022678","ENSCHAG00000022678"
"269","ENSCHAG00000023043","ENSCHAG00000023043"
"270","ENSCHAG00000023058","ENSCHAG00000023058"
"272","ENSCHAG00000023065","ENSCHAG00000023065"
"273","ENSCHAG00000023068","ENSCHAG00000023068"
"274","ENSCHAG00000023122","ENSCHAG00000023122"
"275","ENSCHAG00000023246","ENSCHAG00000023246"
"276","ENSCHAG00000023250","ENSCHAG00000023250"
"277","ENSCHAG00000024329","ENSCHAG00000024329"
"287","ENSCHAG00000024650","ENSCHAG00000024650"
"288","ENSCHAG00000024699","ENSCHAG00000024699"
"290","ENSCHAG00000024786","ENSCHAG00000024786"
"291","ENSCHAG00000024790","ENSCHAG00000024790"
"292","ENSCHAG00000024795","ENSCHAG00000024795"
"293","ENSCHAG00000024798","ENSCHAG00000024798"
"295","ENSCHAG00000024805","ENSCHAG00000024805"
"297","ENSCHAG00000024809","ENSCHAG00000024809"
"298","ENSCHAG00000024814","ENSCHAG00000024814"
"299","ENSCHAG00000024818","ENSCHAG00000024818"
"300","ENSCHAG00000024820","ENSCHAG00000024820"
"301","ENSCHAG00000024823","ENSCHAG00000024823"
"302","ENSCHAG00000024824","ENSCHAG00000024824"
